tree_type,canonical_scenario,scenario_family,scenario_family_detailed,is_ordered_prehashed,scale_size,scale_label,final_scale,prebuild_scale,measured_insert_scale,bucket_start_pct,bucket_end_pct,bucket_mid_pct,run_count,avg_duration_ns,avg_duration_ns_p10,avg_duration_ns_p90,sample_count,sample_count_p10,sample_count_p90
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,40,50,45.0,10,2183.0,2144.2,2254.0,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,50,60,55.0,10,2561.5,2485.7,2614.1,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,50,60,55.0,10,2291.0,2228.0,2319.5,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,50,60,55.0,10,2904.5,2781.6,2933.6,2000,2000,2000
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,50,60,55.0,10,2188.5,2149.2,2248.8,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,60,70,65.0,10,2622.0,2537.6,2697.6,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,60,70,65.0,10,2324.0,2286.6,2375.4,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,60,70,65.0,10,2883.0,2773.3,2955.1,2000,2000,2000
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,60,70,65.0,10,2217.5,2163.9,2265.4,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,70,80,75.0,10,2728.5,2713.4,2781.0,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,70,80,75.0,10,2438.0,2336.5,2600.1,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,70,80,75.0,10,2912.0,2786.0,2948.6,2000,2000,2000
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,70,80,75.0,10,2239.0,2190.3,2296.4,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,80,90,85.0,10,2665.5,2642.3,2712.1,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,80,90,85.0,10,2482.0,2401.5,2551.3,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,80,90,85.0,10,2865.5,2777.3,2964.3,2000,2000,2000
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,80,90,85.0,10,2250.5,2173.5,2289.1,2000,2000,2000
avlhashtree,insert_only_build_100k,insert_only_build,insert_only_build,False,100000,100K,100000,0,100000,90,100,95.0,10,2739.5,2691.1,2815.9,10000,10000,10000
avlhashtree,prehashed_ordered_insert_only_100k,insert_only_build,prehashed_ordered_insert_only,True,100000,100K,100000,0,100000,90,100,95.0,10,2415.5,2347.9,2499.3,10000,10000,10000
avlhashtree,build_100k_then_add_20k_new,build_then_add_new,build_then_add_new,False,100000,100K,120000,100000,20000,90,100,95.0,10,2884.5,2780.9,2946.1,2000,2000,2000
